,Isolate,AMIKACIN,CAPREOMYCIN,CIPROFLOXACIN,ETHAMBUTOL,ETHIONAMIDE,ISONIAZID,KANAMYCIN,LEVOFLOXACIN,OFLOXACIN,PARA-AMINOSALICYLIC_ACID,PYRAZINAMIDE,RIFAMPICIN,STREPTOMYCIN
7216,SAMN02364082,,,,S,S,S,,,S,S,,S,S
7217,SAMN02364083,,,,S,S,S,,,S,S,,S,S
7218,SAMN02364084,,,,S,S,S,,,S,S,,S,S
7219,SAMN02364085,,,,S,S,S,,,S,S,,S,S
7220,SAMN02364086,,,,S,S,S,,,S,S,,S,S
7221,SAMN02364088,,,,S,S,S,,,S,S,,S,S
7222,SAMN02364089,,,,S,S,S,,,S,S,,S,S
7223,SAMN02364090,,,,S,S,S,,,S,S,,S,S
7224,SAMN02364091,,,,S,S,S,,,S,S,,S,S
7225,SAMN02364092,,,,S,S,S,,,S,S,,S,S
7226,SAMN02364093,,,,S,S,S,,,S,S,,S,S
7227,SAMN02364094,,,,S,S,S,,,S,S,,S,S
7228,SAMN02364095,,,,S,S,S,,,S,S,,S,S
7229,SAMN02364096,,,,S,S,S,,,S,S,,S,S
7230,SAMN02380981,S,,,S,R,,S,,S,S,,R,S
7231,SAMN02380983,S,,,,S,R,S,,S,S,,R,S
7232,SAMN02380984,S,,,S,R,R,S,,S,S,,S,S
7233,SAMN02380986,S,,,S,S,S,S,,S,S,,S,R
7234,SAMN02380988,S,,,S,S,S,S,,S,S,,S,S
7235,SAMN02380989,S,,,,R,R,S,,S,S,,R,S
7236,SAMN02380991,S,,,S,S,S,S,,S,S,,S,S
7237,SAMN02380993,S,,,,S,R,S,,S,S,,R,S
7238,SAMN02380995,S,,,S,R,,S,,S,S,,S,S
7239,SAMN02380996,S,,,,S,R,S,,S,S,,R,S
7240,SAMN02380997,S,,,S,S,S,S,,S,S,,S,S
7241,SAMN02380998,S,,,,S,R,S,,S,S,,R,
7242,SAMN02380999,S,,,S,R,S,S,,S,S,,S,S
7243,SAMN02381002,S,,,S,S,R,S,,S,S,,S,S
7244,SAMN02381011,S,,,S,S,R,S,,S,S,,S,S
7245,SAMN02381013,S,,,,S,R,S,,S,S,,R,S
7246,SAMN02381014,S,,,,S,R,S,,S,S,,S,S
7247,SAMN02381015,S,,,S,S,S,S,,S,S,,S,S
7248,SAMN02381016,S,,,R,S,R,S,,S,S,,R,S
7249,SAMN02381017,S,,,S,S,S,S,,S,S,,S,S
7250,SAMN02381018,S,,,S,S,R,S,,S,S,,S,S
7251,SAMN02381019,S,,,S,S,R,S,,S,S,,S,S
7252,SAMN02381020,S,,,S,R,,S,,S,S,,S,S
7253,SAMN02381021,S,,,S,S,R,S,,S,S,,S,S
7254,SAMN02381022,S,,,S,R,R,S,,S,S,,R,S
