Drug,Lineage,Percentage of Strains that are Resistant,Number of Resistant Strains,Number of Susceptible Strains,No Results
emb,"4.1.2.1,2.2.1",66.66666666666667,2,0,1
emb,"4.1.2.1,3",0.0,0,1,0
emb,"4.1.2.1,4.4.1",0.0,0,1,0
emb,"4.1.2.1,4.7",0.0,0,1,0
emb,4.2.1,7.453416149068323,12,143,6
emb,"4.2.1,4.7",0.0,0,1,0
emb,4.2.2,19.607843137254903,20,68,14
emb,4.2.2.1,51.851851851851855,14,13,0
emb,4.3,0.0,0,4,0
emb,"4.3,2.2.1",100.0,1,0,0
emb,4.3.1,2.6315789473684212,1,32,5
emb,4.3.2,10.256410256410257,8,51,19
emb,4.3.2.1,0.6666666666666666,2,116,182
emb,"4.3.2.1,4.3.4",0.0,0,0,1
emb,4.3.3,17.80821917808219,65,168,132
emb,"4.3.3,1.1.3",0.0,0,1,0
emb,"4.3.3,2.2.1",50.0,1,1,0
emb,"4.3.3,3.1.1",0.0,0,0,1
emb,"4.3.3,4.1.1",0.0,0,0,1
emb,"4.3.3,4.1.2",0.0,0,2,1
emb,"4.3.3,4.3.2.1",50.0,1,0,1
emb,4.3.4,0.0,0,1,1
emb,4.3.4.1,10.0,6,46,8
emb,4.3.4.2,13.076923076923077,17,62,51
emb,"4.3.4.2,3.1.2.1",0.0,0,0,1
emb,4.3.4.2.1,2.3622047244094486,3,62,62
emb,"4.3.4.2.1,1.1.2",0.0,0,1,0
emb,4.4,12.5,1,6,1
emb,4.4.1.1,11.436170212765957,43,180,153
emb,"4.4.1.1,3",0.0,0,0,2
emb,"4.4.1.1,4.1.2",0.0,0,2,2
emb,"4.4.1.1,4.3.3",0.0,0,0,1
emb,"4.4.1.1,4.3.4.2.1",0.0,0,0,3
emb,"4.4.1.1,4.6.1.2",0.0,0,1,0
emb,4.4.1.2,0.0,0,86,4
emb,4.4.2,13.043478260869565,3,16,4
emb,4.5,8.88888888888889,8,71,11
emb,"4.5,1.1.2",0.0,0,1,0
emb,"4.5,1.2.1",0.0,0,2,0
emb,4.6,0.0,0,8,1
emb,4.6.1.1,0.0,0,10,1
emb,4.6.1.2,26.31578947368421,5,12,2
emb,4.6.2,3.5714285714285716,1,25,2
emb,4.6.2.1,0.0,0,6,2
emb,4.6.2.2,2.985074626865672,2,60,5
emb,4.7,9.090909090909092,6,46,14
emb,4.8,8.88888888888889,48,352,140
emb,"4.8,4.1.1.3",0.0,0,2,0
emb,"4.8,4.3.4.1",0.0,0,0,2
emb,4.9,13.333333333333334,18,75,42
emb,5,0.0,0,13,2
emb,"5,6,BOV_AFRI",0.0,0,1,0
emb,6,0.0,0,1,1
emb,"6,BOV_AFRI",2.7777777777777777,1,32,3
emb,BOV_AFRI,1.1764705882352942,1,75,9
eth,1,0.0,0,0,3
eth,"1,2.2.1",0.0,0,0,1
eth,1.1,0.0,0,0,1
eth,1.1.1,8.333333333333334,3,0,33
eth,1.1.1.1,5.0,1,1,18
eth,1.1.2,0.0,0,1,271
eth,"1.1.2,1.2.2",0.0,0,0,1
eth,"1.1.2,3",0.0,0,0,2
eth,"1.1.2,4",0.0,0,0,6
eth,"1.1.2,4.3.2.1",0.0,0,0,1
eth,"1.1.2,4.4",0.0,0,0,1
eth,1.1.3,0.967741935483871,3,0,307
eth,"1.1.3,1.1.2",0.0,0,0,3
eth,"1.1.3,2.2.1.2",0.0,0,0,1
eth,"1.1.3,3",0.0,0,0,1
eth,"1.1.3,4.1.1.1",0.0,0,0,1
eth,"1.1.3,4.5",0.0,0,1,0
eth,1.2.1,0.7272727272727273,2,7,266
eth,1.2.2,0.0,0,2,247
eth,"1.2.2,3.1.2",0.0,0,0,1
eth,2,0.0,0,1,0
