,ID,Drug,Resistant,Lineage
14967,TEST0012,str,0,4.2.1.1.1.1.1.1.i1
16085,TEST0250,str,0,4.2.1.1.1.1.1.1.i1
32816,MFS-27_lib45957,str,0,4.2.1.1.1.1.1.1.i1
32829,MFS-117_lib47296,str,0,4.2.1.1.1.1.1.1.i1
36417,CS5599-LDJ7618-W1_L3_1.fq.sorted,str,0,4.2.1.1.1.1.1.1.i1
36859,Test1111,str,0,4.2.1.1.1.1.1.1.i1
37028,Test1170,str,0,4.2.1.1.1.1.1.1.i1
37158,Test1192,str,0,4.2.1.1.1.1.1.1.i1
37197,Test1136,str,0,4.2.1.1.1.1.1.1.i1
37353,Test1161,str,0,4.2.1.1.1.1.1.1.i1
37431,Test1120,str,0,4.2.1.1.1.1.1.1.i1
37483,Test1157,str,0,4.2.1.1.1.1.1.1.i1
37496,Test1140,str,0,4.2.1.1.1.1.1.1.i1
37561,Test1169,str,0,4.2.1.1.1.1.1.1.i1
37639,Test1174,str,0,4.2.1.1.1.1.1.1.i1
37665,Test1198,str,0,4.2.1.1.1.1.1.1.i1
37808,Test1117,str,0,4.2.1.1.1.1.1.1.i1
37938,Test1172,str,0,4.2.1.1.1.1.1.1.i1
40187,TEST0286,str,0,4.2.1.1.1.1.1.1.i1
40382,TEST0273,str,0,4.2.1.1.1.1.1.1.i1
55072,TEST0200,str,0,4.2.1.1.1.1.1.1.i1
56918,S0186_01,str,0,4.2.1.1.1.1.1.1.i1
57074,Test1475,str,0,4.2.1.1.1.1.1.1.i1
57672,Test1494,str,0,4.2.1.1.1.1.1.1.i1
57893,Test1496,str,0,4.2.1.1.1.1.1.1.i1
57945,Test1473,str,0,4.2.1.1.1.1.1.1.i1
58062,Test1500,str,0,4.2.1.1.1.1.1.1.i1
60636,Test250,str,0,4.2.1.1.1.1.1.1.i1
60818,Test286,str,0,4.2.1.1.1.1.1.1.i1
61234,Test273,str,0,4.2.1.1.1.1.1.1.i1
65108,S0047_C,str,0,4.2.1.1.1.1.1.1.i1
76795,Test713,str,0,4.2.1.1.1.1.1.1.i1
78706,ERR023195,str,0,4.2.1.1.1.1.1.1.i1
78940,TB-444-2998-18_S32_R.all,str,0,4.2.1.1.1.1.1.1.i1
78979,TB-DNA0344_S201_R.all,str,0,4.2.1.1.1.1.1.1.i1
82086,Italian2,str,0,4.2.1.1.1.1.1.1.i1
83399,Test330,str,0,4.2.1.1.1.1.1.1.i1
84088,Test370,str,0,4.2.1.1.1.1.1.1.i1
85024,CS5613-LDJ7626-W1_L3_1.fq.sorted,str,0,4.2.1.1.1.1.1.1.i1
85401,Test1291,str,0,4.2.1.1.1.1.1.1.i1
85531,Test1203,str,0,4.2.1.1.1.1.1.1.i1
