,ID,Drug,Resistant,Lineage
82614,3211380_IonXpress_022,pas,0,1.1.3
82640,321769_IonXpress_019,pas,0,1.1.3
82653,321528_IonXpress_018,pas,0,1.1.3
82666,321262_IonXpress_017,pas,0,1.1.3
82692,3211379_IonXpress_021,pas,0,1.1.3
103882,S3_3215574_IonXpress_021,pas,0,1.1.3
61944,1733.8930_res,pas,1,1.1.3
298,3212598_IonXpress_023,pas,0,"1.1.3,4.9"
81873,3211517_IonXpress_020,pas,0,"1.1.3,4.9"
10373,1402592.3_sus,pas,0,1.2.1
15443,3214236_IonXpress_026,pas,0,1.2.1
15456,3214642_IonXpress_027,pas,0,1.2.1
31407,HM2WFCCXY_3_1_AAAATG_150bp.concat_chastity_passed,pas,0,1.2.1
33318,1733.3630_sus,pas,0,1.2.1
33760,1733.11085_sus,pas,0,1.2.1
33903,1733.11190_sus,pas,0,1.2.1
34124,1733.10060_sus,pas,0,1.2.1
34800,1733.4005_sus,pas,0,1.2.1
35164,1733.10330_sus,pas,0,1.2.1
35242,1733.11083_sus,pas,0,1.2.1
35255,1733.10710_sus,pas,0,1.2.1
35983,1733.4663_sus,pas,0,1.2.1
55080,TSVC_variants_IonXpress_024,pas,0,1.2.1
55444,1733.10051_sus,pas,0,1.2.1
55574,1733.10143_sus,pas,0,1.2.1
55652,1733.10393_sus,pas,0,1.2.1
55990,1733.10109_sus,pas,0,1.2.1
56432,1733.10228_sus,pas,0,1.2.1
56523,1733.10247_sus,pas,0,1.2.1
56848,1733.10261_sus,pas,0,1.2.1
58707,1733.10513_res,pas,0,1.2.1
58785,1733.10282_res,pas,0,1.2.1
58811,1733.10722_res,pas,0,1.2.1
62321,1733.7453_res,pas,0,1.2.1
64713,1733.7731_res,pas,0,1.2.1
78116,TSVC_variants_3214683_024,pas,0,1.2.1
102816,1733.10300_res,pas,0,1.2.1
65428,3214642_IonXpress_021,pas,0,"1.2.1,4.9"
58343,TSVC_variants_IonXpress_017 (3),pas,0,1.2.1.1.1
84148,Test369,pas,0,1.2.1.1.1
90778,Test1395,pas,0,1.2.1.1.1
91571,Test1059,pas,0,1.2.1.1.1
91805,Test1073,pas,0,1.2.1.1.1
92299,Test1045,pas,0,1.2.1.1.1
92650,Test1074,pas,0,1.2.1.1.1
98396,Test964,pas,0,1.2.1.1.1
37855,Test1183,pas,0,1.2.1.1.2
92585,Test1055,pas,0,1.2.1.1.2
92624,Test1050,pas,0,1.2.1.1.2
220,3211622_IonXpress_017,pas,0,1.2.2
337,3213329_IonXpress_020,pas,0,1.2.2
13090,rename_mycobacterium_tuberculosis_h1249.0.variants,pas,0,1.2.2
13181,rename_mycobacterium_tuberculosis_m1210.0.variants,pas,0,1.2.2
13298,rename_mycobacterium_tuberculosis_m1271.0.variants,pas,0,1.2.2
13493,rename_mycobacterium_tuberculosis_h3094.0.variants,pas,0,1.2.2
13623,rename_mycobacterium_tuberculosis_m984.0.variants,pas,0,1.2.2
13831,rename_mycobacterium_tuberculosis_m1029.0.variants,pas,0,1.2.2
13883,rename_mycobacterium_tuberculosis_m1011.0.variants,pas,0,1.2.2
14338,rename_mycobacterium_tuberculosis_m1319.0.variants,pas,0,1.2.2
14520,rename_mycobacterium_tuberculosis_m1324.0.variants,pas,0,1.2.2
14533,rename_mycobacterium_tuberculosis_m1325.0.variants,pas,0,1.2.2
14611,rename_mycobacterium_tuberculosis_m1410.0.variants,pas,0,1.2.2
14741,rename_mycobacterium_tuberculosis_m1431.0.variants,pas,0,1.2.2
14767,rename_mycobacterium_tuberculosis_m1373.0.variants,pas,0,1.2.2
16496,1267364.3_sus,pas,0,1.2.2
16691,1397923.3_sus,pas,0,1.2.2
16717,1397909.3_sus,pas,0,1.2.2
25206,1733.3700_sus,pas,0,1.2.2
31173,1324279.3_res,pas,0,1.2.2
32330,1448450.3_sus,pas,0,1.2.2
32694,1448633.3_sus,pas,0,1.2.2
33188,TSVC_variants_IonXpress_017,pas,0,1.2.2
33994,1733.1840_sus,pas,0,1.2.2
35866,1733.4641_sus,pas,0,1.2.2
56367,1448610.3_sus,pas,0,1.2.2
59331,1448735.3_res,pas,0,1.2.2
59890,1448704.3_res,pas,0,1.2.2
61372,1733.6668_res,pas,0,1.2.2
61398,1733.7786_res,pas,0,1.2.2
61411,1733.8444_res,pas,0,1.2.2
62412,1733.6784_res,pas,0,1.2.2
62529,1733.8613_res,pas,0,1.2.2
64687,1733.8642_res,pas,0,1.2.2
65298,3214585_IonXpress_031,pas,0,1.2.2
81509,1324279.3_sus,pas,0,1.2.2
82016,IDR1600033693,pas,0,1.2.2
102465,1733.6221_res,pas,0,1.2.2
103869,S4_3216177_IonXpress_022,pas,0,1.2.2
363,3213343_IonXpress_031,pas,0,"1.2.2,4"
4445,Test091,pas,0,1.2.2.1
8163,YA00086626,pas,0,1.2.2.1
8722,YA00086625,pas,0,1.2.2.1
12492,CS5465-LDJ7658-W1_L3_1.fq.sorted,pas,0,1.2.2.1
12518,KP126,pas,0,1.2.2.1
14949,CS5556-LDJ7634-W1_L3_1.fq.sorted,pas,0,1.2.2.1
15703,CS-5465-LDC9251_L2_1.fq.sorted,pas,0,1.2.2.1
16912,Sample No 3213329.IonXpress_020.sorted,pas,0,1.2.2.1
32005,3211622.IonXpress_017.sorted,pas,0,1.2.2.1
37543,Test1119,pas,0,1.2.2.1
39909,TEST0260,pas,0,1.2.2.1
40013,TEST0264,pas,0,1.2.2.1
40156,TEST0280,pas,0,1.2.2.1
